id_fecha;numDiaEnAnyo;nombreDiaSemana;anyo;mes;numDiaMes;descripcionCompleta;cuatrimestre;indicadorDeVacaciones;indicadorFinDeSemana;indicadorUltimoDiaDelMes
1;1;Miércoles;2020;1;1;2020/01/01;1;No;No;No;
2;2;Jueves;2020;1;2;2020/01/02;1;No;No;No;
3;3;Viernes;2020;1;3;2020/01/03;1;No;No;No;
4;4;Sábado;2020;1;4;2020/01/04;1;No;Sí;No;
5;5;Domingo;2020;1;5;2020/01/05;1;No;Sí;No;
6;6;Lunes;2020;1;6;2020/01/06;1;No;No;No;
7;7;Martes;2020;1;7;2020/01/07;1;No;No;No;
8;8;Miércoles;2020;1;8;2020/01/08;1;No;No;No;
9;9;Jueves;2020;1;9;2020/01/09;1;No;No;No;
10;10;Viernes;2020;1;10;2020/01/10;1;No;No;No;
11;11;Sábado;2020;1;11;2020/01/11;1;No;Sí;No;
12;12;Domingo;2020;1;12;2020/01/12;1;No;Sí;No;
13;13;Lunes;2020;1;13;2020/01/13;1;No;No;No;
14;14;Martes;2020;1;14;2020/01/14;1;No;No;No;
15;15;Miércoles;2020;1;15;2020/01/15;1;No;No;No;
16;16;Jueves;2020;1;16;2020/01/16;1;No;No;No;
17;17;Viernes;2020;1;17;2020/01/17;1;No;No;No;
18;18;Sábado;2020;1;18;2020/01/18;1;No;Sí;No;
19;19;Domingo;2020;1;19;2020/01/19;1;No;Sí;No;
20;20;Lunes;2020;1;20;2020/01/20;1;No;No;No;
21;21;Martes;2020;1;21;2020/01/21;1;No;No;No;
22;22;Miércoles;2020;1;22;2020/01/22;1;No;No;No;
23;23;Jueves;2020;1;23;2020/01/23;1;No;No;No;
24;24;Viernes;2020;1;24;2020/01/24;1;No;No;No;
25;25;Sábado;2020;1;25;2020/01/25;1;No;Sí;No;
26;26;Domingo;2020;1;26;2020/01/26;1;No;Sí;No;
27;27;Lunes;2020;1;27;2020/01/27;1;No;No;No;
28;28;Martes;2020;1;28;2020/01/28;1;No;No;No;
29;29;Miércoles;2020;1;29;2020/01/29;1;No;No;No;
30;30;Jueves;2020;1;30;2020/01/30;1;No;No;No;
31;31;Viernes;2020;1;31;2020/01/31;1;No;No;Sí;
32;32;Sábado;2020;2;1;2020/02/01;1;No;Sí;No;
33;33;Domingo;2020;2;2;2020/02/02;1;No;Sí;No;
34;34;Lunes;2020;2;3;2020/02/03;1;No;No;No;
35;35;Martes;2020;2;4;2020/02/04;1;No;No;No;
36;36;Miércoles;2020;2;5;2020/02/05;1;No;No;No;
37;37;Jueves;2020;2;6;2020/02/06;1;No;No;No;
38;38;Viernes;2020;2;7;2020/02/07;1;No;No;No;
39;39;Sábado;2020;2;8;2020/02/08;1;No;Sí;No;
40;40;Domingo;2020;2;9;2020/02/09;1;No;Sí;No;
41;41;Lunes;2020;2;10;2020/02/10;1;No;No;No;
42;42;Martes;2020;2;11;2020/02/11;1;No;No;No;
43;43;Miércoles;2020;2;12;2020/02/12;1;No;No;No;
44;44;Jueves;2020;2;13;2020/02/13;1;No;No;No;
45;45;Viernes;2020;2;14;2020/02/14;1;No;No;No;
46;46;Sábado;2020;2;15;2020/02/15;1;No;Sí;No;
47;47;Domingo;2020;2;16;2020/02/16;1;No;Sí;No;
48;48;Lunes;2020;2;17;2020/02/17;1;No;No;No;
49;49;Martes;2020;2;18;2020/02/18;1;No;No;No;
50;50;Miércoles;2020;2;19;2020/02/19;1;No;No;No;
51;51;Jueves;2020;2;20;2020/02/20;1;No;No;No;
52;52;Viernes;2020;2;21;2020/02/21;1;No;No;No;
53;53;Sábado;2020;2;22;2020/02/22;1;No;Sí;No;
54;54;Domingo;2020;2;23;2020/02/23;1;No;Sí;No;
55;55;Lunes;2020;2;24;2020/02/24;1;No;No;No;
56;56;Martes;2020;2;25;2020/02/25;1;No;No;No;
57;57;Miércoles;2020;2;26;2020/02/26;1;No;No;No;
58;58;Jueves;2020;2;27;2020/02/27;1;No;No;No;
59;59;Viernes;2020;2;28;2020/02/28;1;No;No;No;
60;60;Sábado;2020;2;29;2020/02/29;1;No;Sí;Sí;
61;61;Domingo;2020;3;1;2020/03/01;1;No;Sí;No;
62;62;Lunes;2020;3;2;2020/03/02;1;No;No;No;
63;63;Martes;2020;3;3;2020/03/03;1;No;No;No;
64;64;Miércoles;2020;3;4;2020/03/04;1;No;No;No;
65;65;Jueves;2020;3;5;2020/03/05;1;No;No;No;
66;66;Viernes;2020;3;6;2020/03/06;1;No;No;No;
67;67;Sábado;2020;3;7;2020/03/07;1;No;Sí;No;
68;68;Domingo;2020;3;8;2020/03/08;1;No;Sí;No;
69;69;Lunes;2020;3;9;2020/03/09;1;No;No;No;
70;70;Martes;2020;3;10;2020/03/10;1;No;No;No;
71;71;Miércoles;2020;3;11;2020/03/11;1;No;No;No;
72;72;Jueves;2020;3;12;2020/03/12;1;No;No;No;
73;73;Viernes;2020;3;13;2020/03/13;1;No;No;No;
74;74;Sábado;2020;3;14;2020/03/14;1;No;Sí;No;
75;75;Domingo;2020;3;15;2020/03/15;1;No;Sí;No;
76;76;Lunes;2020;3;16;2020/03/16;1;No;No;No;
77;77;Martes;2020;3;17;2020/03/17;1;No;No;No;
78;78;Miércoles;2020;3;18;2020/03/18;1;No;No;No;
79;79;Jueves;2020;3;19;2020/03/19;1;No;No;No;
80;80;Viernes;2020;3;20;2020/03/20;1;No;No;No;
81;81;Sábado;2020;3;21;2020/03/21;1;No;Sí;No;
82;82;Domingo;2020;3;22;2020/03/22;1;No;Sí;No;
83;83;Lunes;2020;3;23;2020/03/23;1;No;No;No;
84;84;Martes;2020;3;24;2020/03/24;1;No;No;No;
85;85;Miércoles;2020;3;25;2020/03/25;1;No;No;No;
86;86;Jueves;2020;3;26;2020/03/26;1;No;No;No;
